record_id,customer_id,product_category,region,amount,is_priority,event_date,event_ts
4001,10674,books,north,433.05,false,2026-02-10,2026-01-20 18:40:00
4002,10582,electronics,south,262.23,true,2026-02-11,2026-01-20 18:47:00
4003,10432,fashion,east,140.64,false,2026-02-12,2026-01-20 18:54:00
4004,10713,grocery,west,240.15,true,2026-02-13,2026-01-20 19:01:00
4005,10023,home,central,493.02,false,2026-02-14,2026-01-20 19:08:00
4006,10387,books,north,289.47,true,2026-02-15,2026-01-20 19:15:00
4007,10331,electronics,south,290.54,false,2026-02-16,2026-01-20 19:22:00
4008,10828,fashion,east,249.30,true,2026-02-17,2026-01-20 19:29:00
4009,10708,grocery,west,340.80,false,2026-02-18,2026-01-20 19:36:00
4010,10345,home,central,253.40,true,2026-02-19,2026-01-20 19:43:00
4011,10831,books,north,384.80,false,2026-02-20,2026-01-20 19:50:00
4012,10348,electronics,south,91.65,true,2026-02-21,2026-01-20 19:57:00
4013,10307,fashion,east,188.03,false,2026-02-22,2026-01-20 20:04:00
4014,10447,grocery,west,108.86,true,2026-02-23,2026-01-20 20:11:00
4015,10651,home,central,425.19,false,2026-02-24,2026-01-20 20:18:00
4016,10807,books,north,46.91,true,2026-02-25,2026-01-20 20:25:00
4017,10871,electronics,south,272.56,false,2026-02-26,2026-01-20 20:32:00
4018,10295,fashion,east,139.93,true,2026-02-27,2026-01-20 20:39:00
4019,10305,grocery,west,498.15,false,2026-02-28,2026-01-20 20:46:00
4020,10412,home,central,404.26,true,2026-03-01,2026-01-20 20:53:00
4021,10640,books,north,374.02,false,2026-03-02,2026-01-20 21:00:00
4022,10095,electronics,south,361.68,true,2026-03-03,2026-01-20 21:07:00
4023,10593,fashion,east,56.42,false,2026-03-04,2026-01-20 21:14:00
4024,10345,grocery,west,143.95,true,2026-03-05,2026-01-20 21:21:00
4025,10581,home,central,402.58,false,2026-03-06,2026-01-20 21:28:00
4026,10487,books,north,219.28,true,2026-03-07,2026-01-20 21:35:00
4027,10356,electronics,south,399.87,false,2026-03-08,2026-01-20 21:42:00
4028,10668,fashion,east,413.63,true,2026-03-09,2026-01-20 21:49:00
4029,10517,grocery,west,404.02,false,2026-03-10,2026-01-20 21:56:00
4030,10444,home,central,335.09,true,2026-03-11,2026-01-20 22:03:00
4031,10321,books,north,108.04,false,2026-03-12,2026-01-20 22:10:00
4032,10412,electronics,south,133.12,true,2026-03-13,2026-01-20 22:17:00
4033,10528,fashion,east,232.08,false,2026-03-14,2026-01-20 22:24:00
4034,10782,grocery,west,278.31,true,2026-03-15,2026-01-20 22:31:00
4035,10020,home,central,317.64,false,2026-03-16,2026-01-20 22:38:00
4036,10529,books,north,432.73,true,2026-03-17,2026-01-20 22:45:00
4037,10591,electronics,south,254.61,false,2026-03-18,2026-01-20 22:52:00
4038,10677,fashion,east,481.44,true,2026-03-19,2026-01-20 22:59:00
4039,10761,grocery,west,469.67,false,2026-03-20,2026-01-20 23:06:00
4040,10275,home,central,469.21,true,2026-03-21,2026-01-20 23:13:00
4041,10546,books,north,406.38,false,2026-03-22,2026-01-20 23:20:00
4042,10874,electronics,south,386.87,true,2026-03-23,2026-01-20 23:27:00
4043,10445,fashion,east,467.97,false,2026-03-24,2026-01-20 23:34:00
4044,10745,grocery,west,317.11,true,2026-03-25,2026-01-20 23:41:00
4045,10535,home,central,108.32,false,2026-03-26,2026-01-20 23:48:00
4046,10474,books,north,82.39,true,2026-03-27,2026-01-20 23:55:00
4047,10155,electronics,south,375.75,false,2026-03-28,2026-01-21 00:02:00
4048,10784,fashion,east,157.14,true,2026-03-29,2026-01-21 00:09:00
4049,10446,grocery,west,211.03,false,2026-03-30,2026-01-21 00:16:00
4050,10881,home,central,416.81,true,2026-03-31,2026-01-21 00:23:00
4051,10066,books,north,320.62,false,2026-01-01,2026-01-21 00:30:00
4052,10867,electronics,south,212.09,true,2026-01-02,2026-01-21 00:37:00
4053,10844,fashion,east,150.65,false,2026-01-03,2026-01-21 00:44:00
4054,10165,grocery,west,135.66,true,2026-01-04,2026-01-21 00:51:00
4055,10616,home,central,125.70,false,2026-01-05,2026-01-21 00:58:00
4056,10245,books,north,65.64,true,2026-01-06,2026-01-21 01:05:00
4057,10197,electronics,south,23.58,false,2026-01-07,2026-01-21 01:12:00
4058,10817,fashion,east,415.34,true,2026-01-08,2026-01-21 01:19:00
4059,10476,grocery,west,247.84,false,2026-01-09,2026-01-21 01:26:00
4060,10447,home,central,216.79,true,2026-01-10,2026-01-21 01:33:00
4061,10038,books,north,108.98,false,2026-01-11,2026-01-21 01:40:00
4062,10280,electronics,south,76.85,true,2026-01-12,2026-01-21 01:47:00
4063,10265,fashion,east,396.94,false,2026-01-13,2026-01-21 01:54:00
4064,10285,grocery,west,332.75,true,2026-01-14,2026-01-21 02:01:00
4065,10181,home,central,325.70,false,2026-01-15,2026-01-21 02:08:00
4066,10044,books,north,482.26,true,2026-01-16,2026-01-21 02:15:00
4067,10498,electronics,south,393.29,false,2026-01-17,2026-01-21 02:22:00
4068,10057,fashion,east,431.20,true,2026-01-18,2026-01-21 02:29:00
4069,10086,grocery,west,163.81,false,2026-01-19,2026-01-21 02:36:00
4070,10306,home,central,434.91,true,2026-01-20,2026-01-21 02:43:00
4071,10417,books,north,449.42,false,2026-01-21,2026-01-21 02:50:00
4072,10688,electronics,south,332.14,true,2026-01-22,2026-01-21 02:57:00
4073,10093,fashion,east,204.48,false,2026-01-23,2026-01-21 03:04:00
4074,10860,grocery,west,364.87,true,2026-01-24,2026-01-21 03:11:00
4075,10144,home,central,125.66,false,2026-01-25,2026-01-21 03:18:00
4076,10585,books,north,369.90,true,2026-01-26,2026-01-21 03:25:00
4077,10124,electronics,south,265.76,false,2026-01-27,2026-01-21 03:32:00
4078,10849,fashion,east,294.41,true,2026-01-28,2026-01-21 03:39:00
4079,10794,grocery,west,466.46,false,2026-01-29,2026-01-21 03:46:00
4080,10258,home,central,253.26,true,2026-01-30,2026-01-21 03:53:00
4081,10093,books,north,126.66,false,2026-01-31,2026-01-21 04:00:00
4082,10126,electronics,south,388.86,true,2026-02-01,2026-01-21 04:07:00
4083,10321,fashion,east,171.35,false,2026-02-02,2026-01-21 04:14:00
4084,10599,grocery,west,371.25,true,2026-02-03,2026-01-21 04:21:00
4085,10826,home,central,376.70,false,2026-02-04,2026-01-21 04:28:00
4086,10242,books,north,468.40,true,2026-02-05,2026-01-21 04:35:00
4087,10224,electronics,south,80.70,false,2026-02-06,2026-01-21 04:42:00
4088,10180,fashion,east,114.91,true,2026-02-07,2026-01-21 04:49:00
4089,10282,grocery,west,225.34,false,2026-02-08,2026-01-21 04:56:00
4090,10261,home,central,432.82,true,2026-02-09,2026-01-21 05:03:00
4091,10058,books,north,250.28,false,2026-02-10,2026-01-21 05:10:00
4092,10384,electronics,south,352.81,true,2026-02-11,2026-01-21 05:17:00
4093,10116,fashion,east,165.08,false,2026-02-12,2026-01-21 05:24:00
4094,10434,grocery,west,242.68,true,2026-02-13,2026-01-21 05:31:00
4095,10253,home,central,482.02,false,2026-02-14,2026-01-21 05:38:00
4096,10804,books,north,469.12,true,2026-02-15,2026-01-21 05:45:00
4097,10372,electronics,south,242.86,false,2026-02-16,2026-01-21 05:52:00
4098,10377,fashion,east,412.47,true,2026-02-17,2026-01-21 05:59:00
4099,10022,grocery,west,326.24,false,2026-02-18,2026-01-21 06:06:00
4100,10621,home,central,27.06,true,2026-02-19,2026-01-21 06:13:00
4101,10758,books,north,334.49,false,2026-02-20,2026-01-21 06:20:00
4102,10056,electronics,south,348.43,true,2026-02-21,2026-01-21 06:27:00
4103,10808,fashion,east,339.08,false,2026-02-22,2026-01-21 06:34:00
4104,10260,grocery,west,280.84,true,2026-02-23,2026-01-21 06:41:00
4105,10317,home,central,323.09,false,2026-02-24,2026-01-21 06:48:00
4106,10718,books,north,187.80,true,2026-02-25,2026-01-21 06:55:00
4107,10832,electronics,south,345.77,false,2026-02-26,2026-01-21 07:02:00
4108,10548,fashion,east,434.81,true,2026-02-27,2026-01-21 07:09:00
4109,10879,grocery,west,226.78,false,2026-02-28,2026-01-21 07:16:00
4110,10009,home,central,455.80,true,2026-03-01,2026-01-21 07:23:00
4111,10403,books,north,464.48,false,2026-03-02,2026-01-21 07:30:00
4112,10262,electronics,south,157.44,true,2026-03-03,2026-01-21 07:37:00
4113,10843,fashion,east,380.77,false,2026-03-04,2026-01-21 07:44:00
4114,10305,grocery,west,113.09,true,2026-03-05,2026-01-21 07:51:00
4115,10165,home,central,458.79,false,2026-03-06,2026-01-21 07:58:00
4116,10647,books,north,165.42,true,2026-03-07,2026-01-21 08:05:00
4117,10832,electronics,south,385.70,false,2026-03-08,2026-01-21 08:12:00
4118,10417,fashion,east,396.77,true,2026-03-09,2026-01-21 08:19:00
4119,10281,grocery,west,434.56,false,2026-03-10,2026-01-21 08:26:00
4120,10843,home,central,391.93,true,2026-03-11,2026-01-21 08:33:00
4121,10504,books,north,240.83,false,2026-03-12,2026-01-21 08:40:00
4122,10423,electronics,south,463.98,true,2026-03-13,2026-01-21 08:47:00
4123,10341,fashion,east,361.52,false,2026-03-14,2026-01-21 08:54:00
4124,10898,grocery,west,460.09,true,2026-03-15,2026-01-21 09:01:00
4125,10103,home,central,413.96,false,2026-03-16,2026-01-21 09:08:00
4126,10716,books,north,137.88,true,2026-03-17,2026-01-21 09:15:00
